,,,,,,,,,,,,,
,,,,JURNAL VANZARI,,,,,,,,,
12-Jan-2018,FA120180100015,EXCOR SERV SRL ,,,,,407.36,,77.40,,484.76,,300.13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,19,Foarfeca aut.PPR 16-42mm CM,,2,81.36,,81.36,,15.46,,,,
,,,,,,,,,,,,,
,19,Teu egal PPR Ø20,,100,0.54,,27.00,,5.13,,,,
,,,,,,,,,,,,,
,19,Cot PPR 90º Ø40,,20,2.00,,20.00,,3.80,,,,
,,,,,,,,,,,,,
,19,"Cot PPR 90º 20x1/2"" Fe",,100,4.08,,204.00,,38.76,,,,
,,,,,,,,,,,,,
,19,Cot PPR 90º Ø20,,500,0.15,,75.00,,14.25,,,,
,,,,,,,,,,,,,
12-Jan-2018,FA120180100016,MAGDOLNA IMPEX SRL ,,,,,844.34,,160.42,,1004.76,,517.61
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,19,Radiator 22x600x2800 HOFMANN,,1,457.88,,457.88,,87.00,,,,
,,,,,,,,,,,,,
,19,Radiator 33x300x1000 HOFMANN,,2,193.23,,386.46,,73.43,,,,
,,,,,,,,,,,,,
12-Jan-2018,FA120180100017,CLEMANS SRL ,,,,,850.00,,161.50,,1011.50,,759.35
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,19,Pompa RS 32/8G 180,,1,310.00,,310.00,,58.90,,,,
,,,,,,,,,,,,,
,19,ANTIGEL -60ºC SIST TERM SI CLI,,10,54.00,,540.00,,102.60,,,,
,,,,,,,,,,,,,
12-Jan-2018,FA120180100018,TOMA-VIV S.R.L. ,,,,,4847.50,,921.03,,5768.52,,3613.95
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,19,RAD. ALUM. HOFMANN H600/10 EL.,,12,234.10,,2809.20,,533.75,,,,
,,,,,,,,,,,,,
,19,Radiator 22x600x1400 HOFMANN,,4,202.99,,811.96,,154.27,,,,
,,,,,,,,,,,,,
,19,Radiator 22x600x1800 HOFMANN,,2,264.92,,529.84,,100.67,,,,
,,,,,,,,,,,,,
,19,Radiator 22x600x2200 HOFMANN,,2,348.25,,696.50,,132.34,,,,
,,,,,,,,,,,,,
12-Jan-2018,FA120180100019,HABITHERM SERVICES SRL ,,,,,8.40,,1.60,,10.00,,4.40
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,19,"D.Plus - Flansa R1 1/2"" TUR RE",,1,8.40,,8.40,,1.60,,,,
,,,,,,,,,,,,,
12-Jan-2018,FA120180100020,ALFA RADO INSTAL SRL ,,,,,2167.59,,411.84,,2579.44,,2111.59
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,19,Cronotermostat cu fir C3,,5,43.04,,215.20,,40.89,,,,
,,,,,,,,,,,,,
,19,Reducere comerciala,,-1,50.00,,-50.00,,-9.50,,,,
,,,,,,,,,,,,,
,19,"Reg. gaz 3/4"" cu filtru MADAS",,1,50.00,,50.00,,9.50,,,,
,,,,,,,,,,,,,
,19,SYLBER STYLE BASIC 25 S + KIT,,1,1952.39,,1952.39,,370.95,,,,
12-Jan-2018,FA120180100021,GERANIMO SRL ,,,,,27315.08,,5189.87,,32504.95,,21442.50
,,,,,,,,,,,,,
,19,"RR - Robinet golire 1/2""",,60,10.17,,427.14,,81.16,,,,
,,,,,,,,,,,,,
,19,R.R. - Robinet coltar 1/2-1/2,,100,8.72,,610.40,,115.98,,,,
,,,,,,,,,,,,,
,19,"R.R. - SET Rob. tur-retur 1/2""",,250,23.09,,4040.75,,767.74,,,,
,,,,,,,,,,,,,
,19,"RR - Robinet cu olandez 3/4""MF",,80,18.22,,1020.32,,193.86,,,,
,,,,,,,,,,,,,
,19,"RR - Robinet cu olandez 1/2""MF",,100,12.88,,901.60,,171.30,,,,
,,,,,,,,,,,,,
,19,"RR - Robinet port furtun 3/4""",,200,13.69,,1916.60,,364.15,,,,
,,,,,,,,,,,,,
,19,"RR - Robinet port furtun 1/2""",,240,9.93,,1668.24,,316.97,,,,
,,,,,,,,,,,,,
,19,"R.R. - Robinet apa 3/4"" FF",,100,13.00,,910.00,,172.90,,,,
,,,,,,,,,,,,,
,19,"R.R. - Robinet apa 1/2"" MF",,240,9.29,,1560.72,,296.54,,,,
,,,,,,,,,,,,,
,19,"R.R. - Robinet apa 1/2"" FF",,240,8.72,,1464.96,,278.34,,,,
,,,,,,,,,,,,,
,19,Clema PPR Ø25,,600,0.28,,84.00,,15.96,,,,
,,,,,,,,,,,,,
,19,Clema PPR Ø20,,1000,0.22,,110.00,,20.90,,,,
,,,,,,,,,,,,,
,19,Teu redus PPR Ø32x25x32,,100,2.35,,117.50,,22.33,,,,
,,,,,,,,,,,,,
,19,Teu redus PPR Ø32x20x32,,100,2.22,,111.00,,21.09,,,,
,,,,,,,,,,,,,
,19,Teu redus PPR Ø25x20x25,,200,0.88,,88.00,,16.72,,,,
,,,,,,,,,,,,,
,19,Teu egal PPR Ø40,,50,2.90,,72.50,,13.78,,,,
,,,,,,,,,,,,,
,19,Teu egal PPR Ø20,,900,0.54,,243.00,,46.17,,,,
,,,,,,,,,,,,,
,19,"Racord PPR Ø25x3/4"" Fi",,250,4.86,,607.50,,115.43,,,,
,,,,,,,,,,,,,
,19,"Racord PPR Ø25x3/4"" Fe",,150,6.10,,457.50,,86.93,,,,
,,,,,,,,,,,,,
,19,Ocolire Ø25 cu mufa scurta,,150,2.14,,160.50,,30.50,,,,
,,,,,,,,,,,,,
,19,Ocolire Ø20 cu mufa scurta,,200,1.42,,142.00,,26.98,,,,
,,,,,,,,,,,,,
,19,Mufa PPR Ø40,,100,1.36,,68.00,,12.92,,,,
,,,,,,,,,,,,,
,19,Mufa PPR Ø25,,400,0.42,,84.00,,15.96,,,,
,,,,,,,,,,,,,
,19,Mufa PPR Ø20,,1200,0.31,,186.00,,35.34,,,,
,,,,,,,,,,,,,
,19,"Rac. olandez PPR Ø25x3/4"" Fe",,105,11.98,,628.95,,119.50,,,,
,,,,,,,,,,,,,
,19,"Rac. olandez PPR Ø20x1/2"" Fi",,400,6.76,,1352.00,,256.88,,,,
,,,,,,,,,,,,,
,19,Cot PPR 45º Ø32,,150,1.46,,109.50,,20.81,,,,
,,,,,,,,,,,,,
,19,Cot PPR 45º Ø20,,600,0.44,,132.00,,25.08,,,,
,,,,,,,,,,,,,
